epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,410.966,0.10281,0.16681,0.78722,0.99257,0.97703,0.99329,0.99329,0.07598,0.1262,0.79728,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026
31,424.591,0.10065,0.17036,0.78787,0.97589,0.99395,0.9936,0.9936,0.07256,0.12075,0.78835,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
32,438.153,0.09738,0.16449,0.78772,0.97827,0.98803,0.99421,0.99421,0.06178,0.11684,0.7887,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028
33,451.651,0.09907,0.16586,0.79124,0.99261,0.97494,0.99402,0.99402,0.06349,0.11067,0.78353,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029
34,465.21,0.09723,0.16638,0.78681,0.98142,0.99906,0.99464,0.99464,0.06315,0.10294,0.78743,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203
35,478.654,0.09505,0.15759,0.79147,0.99557,0.99184,0.9947,0.9947,0.06725,0.10289,0.79134,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031
36,492.323,0.10094,0.1586,0.79171,0.99384,0.9933,0.995,0.995,0.06103,0.09289,0.79629,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031
37,505.996,0.0944,0.15557,0.79378,0.99115,0.98861,0.99464,0.99464,0.06595,0.10218,0.79558,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032
38,519.533,0.09034,0.14978,0.7938,0.99082,0.98705,0.99485,0.99485,0.05686,0.09717,0.79596,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033
39,532.99,0.09245,0.14201,0.79366,0.9888,0.99131,0.99485,0.99485,0.05532,0.0948,0.79659,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034
40,546.622,0.09187,0.14499,0.79025,0.99097,0.99192,0.99485,0.99485,0.06058,0.09098,0.79808,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035
41,560.29,0.09277,0.14736,0.78839,0.99099,0.9918,0.9947,0.9947,0.05795,0.08594,0.80141,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
42,573.852,0.0909,0.15056,0.7899,0.9923,0.98978,0.9947,0.9947,0.05791,0.08653,0.80309,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037
43,587.421,0.08968,0.14765,0.78872,0.9961,0.98978,0.99443,0.99443,0.06008,0.08479,0.80979,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038
44,601.062,0.08844,0.1411,0.78734,0.99038,0.99464,0.99437,0.99437,0.06531,0.09411,0.81023,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039
45,614.531,0.09226,0.15206,0.78769,0.98939,0.99507,0.99424,0.99424,0.05809,0.09358,0.8102,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304
46,628.187,0.08679,0.13928,0.78823,0.98941,0.99265,0.99424,0.99424,0.05907,0.09562,0.81008,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404
47,641.616,0.08521,0.14746,0.79053,0.99012,0.99246,0.99444,0.99444,0.06512,0.1035,0.81307,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041
48,655.226,0.08525,0.13773,0.78362,0.98803,0.99251,0.99091,0.99091,0.05117,0.10317,0.81153,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042
49,668.78,0.08351,0.15495,0.78763,0.99221,0.99484,0.99256,0.99256,0.05341,0.10023,0.81176,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043
50,682.353,0.08274,0.13414,0.78602,0.99139,0.99044,0.99391,0.99391,0.05652,0.10085,0.81237,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044
51,695.784,0.08568,0.13799,0.79196,0.9907,0.99293,0.99412,0.99412,0.0512,0.09841,0.81243,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
